16.870 -98.930	0.197
16.405 -98.469	0.005
16.608 -98.464	0.205
16.431 -98.885	0.060
16.427 -98.876	0.157
16.257 -98.103	0.017
16.523 -98.453	0.007
16.268 -98.122	0.035
16.267 -98.257	0.073
16.319 -98.234	0.005
16.336 -98.232	0.040
16.588 -99.266	0.032
16.268 -98.113	0.043
16.268 -98.093	0.034
16.285 -98.075	0.039
16.320 -98.090	0.032
16.700 -96.545	0.105
16.306 -98.295	0.148
16.013 -98.708	0.163
15.947 -97.977	0.008
15.851 -97.078	0.068
16.880 -100.455	0.062
16.220 -98.580	0.028
16.007 -97.615	3.884
16.245 -98.035	0.102
16.300 -97.900	0.022
16.317 -98.095	0.021
16.225 -97.975	0.013
16.325 -97.930	0.139
16.294 -98.089	0.778
16.300 -97.890	0.083
16.320 -97.860	0.052
16.293 -97.877	0.150
16.445 -98.305	0.289
16.035 -97.660	2.096
16.250 -98.100	0.031
16.260 -98.140	0.130
16.040 -98.370	0.120
16.080 -97.190	0.898
16.005 -97.940	0.024
16.325 -97.830	0.021
16.250 -98.105	0.055
15.415 -96.530	0.126
16.280 -98.110	0.089
16.255 -98.055	0.161
15.935 -98.410	0.141
16.280 -98.115	0.193
16.166 -99.197	0.399
16.050 -98.692	0.017
16.315 -97.825	0.090
15.945 -97.985	0.025
15.960 -97.950	0.004
15.915 -98.270	0.043
16.010 -98.670	0.015
16.011 -97.553	0.049
16.285 -97.835	0.011
16.280 -98.060	0.036
16.280 -98.100	0.088
16.035 -97.650	0.243
16.235 -98.035	0.446
16.040 -97.655	0.005
15.905 -98.420	0.127
16.300 -98.301	0.853
16.500 -98.475	0.021
16.310 -97.825	0.199
16.270 -98.115	0.181
16.290 -98.090	0.168
16.245 -98.100	1.299
16.170 -97.805	0.062
16.733 -99.436	1.482
16.040 -97.900	0.033
16.605 -98.556	0.040
16.255 -98.095	0.119
16.307 -97.827	0.170
16.325 -98.260	0.052
16.291 -98.380	0.330
16.305 -97.860	0.147
16.295 -97.850	0.147
16.375 -97.990	0.103
16.305 -97.825	0.267
16.063 -97.608	0.431
16.275 -98.105	1.046
