16.870 -98.930	0.442
16.405 -98.469	0.011
16.608 -98.464	0.013
16.431 -98.885	0.019
16.427 -98.876	0.150
16.257 -98.103	0.388
16.523 -98.453	0.020
16.268 -98.122	0.007
16.267 -98.257	0.033
16.319 -98.234	0.042
16.336 -98.232	0.014
16.588 -99.266	0.037
16.268 -98.113	0.258
16.268 -98.093	0.285
16.285 -98.075	0.048
16.320 -98.090	0.022
16.700 -96.545	1.788
16.306 -98.295	2.292
16.013 -98.708	0.388
15.947 -97.977	0.038
15.851 -97.078	0.040
16.880 -100.455	0.044
16.220 -98.580	0.021
16.007 -97.615	1.323
16.245 -98.035	0.025
16.300 -97.900	0.013
16.317 -98.095	0.017
16.225 -97.975	0.005
16.325 -97.930	1.038
16.294 -98.089	0.084
16.300 -97.890	0.009
16.320 -97.860	0.023
16.293 -97.877	0.053
16.445 -98.305	0.285
16.035 -97.660	0.052
16.250 -98.100	0.061
16.260 -98.140	0.034
16.040 -98.370	0.293
16.080 -97.190	0.287
16.005 -97.940	0.029
16.325 -97.830	0.011
16.250 -98.105	0.156
15.415 -96.530	0.036
16.280 -98.110	0.791
16.255 -98.055	0.025
15.935 -98.410	1.073
16.280 -98.115	1.122
16.166 -99.197	1.970
16.050 -98.692	0.034
16.315 -97.825	0.788
15.945 -97.985	0.011
15.960 -97.950	0.028
15.915 -98.270	0.026
16.010 -98.670	0.073
16.011 -97.553	0.040
16.285 -97.835	0.005
16.280 -98.060	0.060
16.280 -98.100	0.112
16.035 -97.650	0.092
16.235 -98.035	1.834
16.040 -97.655	0.064
15.905 -98.420	0.319
16.300 -98.301	1.111
16.500 -98.475	0.054
16.310 -97.825	0.297
16.270 -98.115	0.044
16.290 -98.090	1.141
16.245 -98.100	2.905
16.170 -97.805	0.039
16.733 -99.436	3.736
16.040 -97.900	0.013
16.605 -98.556	0.017
16.255 -98.095	0.021
16.307 -97.827	0.359
16.325 -98.260	0.135
16.291 -98.380	0.420
16.305 -97.860	0.009
16.295 -97.850	0.044
16.375 -97.990	0.145
16.305 -97.825	0.364
16.063 -97.608	1.162
16.275 -98.105	2.865
16.635 -98.630	0.073
16.315 -98.045	0.306
15.885 -98.325	0.011
16.280 -98.095	0.209
16.155 -98.795	0.022
16.008 -97.982	0.112
15.920 -97.975	0.015
16.260 -98.055	0.030
16.047 -97.183	0.192
16.425 -97.920	0.144
16.045 -97.170	0.399
16.450 -97.890	0.085
15.655 -97.894	0.014
16.305 -98.175	0.017
15.985 -97.650	0.398
16.305 -98.120	0.024
16.273 -98.087	0.180
15.845 -98.120	0.183
16.700 -99.643	3.833
17.285 -96.105	0.151
16.255 -98.050	0.014
16.285 -98.070	0.127
16.215 -98.340	0.065
15.956 -98.201	0.431
16.300 -98.015	0.127
15.965 -98.385	1.979
16.325 -98.055	0.080
16.165 -97.850	0.035
16.233 -98.035	0.160
16.340 -97.700	0.442
15.980 -98.045	0.073
16.103 -97.753	1.766
16.270 -97.785	0.823
17.235 -95.980	0.034
16.253 -98.123	0.628
15.965 -97.600	0.049
16.010 -97.650	0.062
16.285 -98.141	3.635
16.080 -98.465	0.033
16.285 -98.129	3.837
16.255 -98.110	0.192
16.190 -98.802	1.365
16.723 -99.626	3.542
15.850 -97.200	1.808
16.125 -97.205	0.061
16.100 -97.540	0.022
16.270 -98.125	0.065
16.785 -99.945	0.065
16.320 -98.295	0.034
16.070 -98.395	0.022
16.270 -97.855	2.176
16.480 -98.470	1.680
16.215 -98.135	0.401
16.050 -98.165	0.011
16.240 -98.045	0.079
15.680 -98.320	0.083
16.215 -98.035	0.065
16.275 -98.815	0.024
16.030 -97.675	0.156
16.250 -98.095	0.026
15.985 -97.685	1.554
16.329 -98.275	4.550
16.515 -98.455	0.217
15.935 -98.720	0.066
16.845 -97.700	0.114
15.900 -98.130	0.043
16.000 -97.595	0.030
16.187 -98.776	0.030
15.865 -98.300	0.017
16.007 -98.097	0.236
15.917 -98.120	0.021
16.028 -98.684	0.204
16.049 -98.659	0.144
16.083 -98.644	0.114
16.205 -98.040	0.034
16.355 -98.240	0.012
16.880 -100.060	0.200
16.275 -98.094	0.014
16.021 -98.683	0.027
16.275 -98.115	0.383
16.145 -98.522	0.073
16.045 -97.915	0.259
15.979 -98.732	0.049
16.090 -97.680	1.206
16.483 -98.490	0.049
16.320 -98.260	0.021
16.273 -98.089	0.106
16.360 -97.935	0.030
16.365 -98.235	0.021
15.935 -98.870	0.031
16.254 -98.094	0.044
16.010 -98.400	0.271
16.020 -98.660	0.076
15.988 -97.647	0.039
16.275 -98.100	0.122
15.945 -98.480	0.041
16.015 -98.895	0.015
16.290 -98.015	0.060
16.255 -98.080	0.896
16.050 -97.655	0.024
16.453 -98.516	0.027
16.085 -97.810	0.018
16.248 -98.075	0.113
15.860 -98.795	0.067
16.078 -97.665	0.316
16.575 -100.425	0.022
16.390 -97.975	0.053
16.010 -98.705	0.057
15.957 -98.700	0.012
16.210 -99.210	0.011
15.960 -98.660	0.038
16.140 -99.255	0.032
15.940 -98.243	0.018
16.030 -98.410	0.097
16.042 -98.485	0.026
15.980 -98.865	0.046
15.685 -97.895	0.032
16.350 -99.390	0.061
16.315 -97.855	0.014
16.045 -98.665	0.037
15.936 -98.261	0.060
16.853 -100.283	0.124
16.007 -98.257	0.124
15.810 -98.305	0.334
16.330 -98.115	0.011
15.895 -98.870	0.071
17.255 -101.125	0.107
16.105 -98.270	0.037
15.915 -98.445	0.035
16.130 -97.505	1.050
15.880 -98.740	0.158
16.245 -98.030	0.030
15.903 -98.407	0.099
16.020 -97.665	0.273
16.070 -98.440	0.050
15.685 -97.403	0.033
15.955 -98.680	0.050
16.005 -97.680	2.771
16.020 -97.570	0.536
16.023 -98.357	0.040
15.990 -97.625	0.141
16.026 -97.672	0.941
15.625 -97.885	0.223
16.585 -98.635	0.096
17.460 -101.510	1.424
15.949 -98.864	0.026
16.280 -98.060	0.080
16.515 -99.050	1.825
16.365 -98.235	0.018
16.248 -98.109	0.190
15.977 -98.050	0.089
16.036 -98.649	0.029
15.925 -98.475	0.281
